email_lenghth,word_free_freq,word_win_freq,word_click_freq,suspicious_words_freq,is_spam
426,0,6,1,42,1
332,6,0,0,50,1
682,5,1,4,4,0
677,13,6,1,53,1
794,1,7,3,28,1
308,3,3,1,55,1
408,10,5,3,16,1
759,14,9,1,50,1
505,17,2,1,48,1
460,0,6,3,36,1
698,2,2,0,23,1
367,2,6,4,51,1
726,6,7,4,26,1
274,0,2,0,8,0
868,10,1,1,53,1
283,5,5,4,37,1
733,19,3,0,58,1
713,2,7,0,52,1
876,18,1,4,12,1
423,1,3,3,25,1
721,17,1,2,52,1
657,11,1,3,10,1
521,9,1,1,54,1
282,4,0,3,23,1
741,8,3,2,54,1
162,1,1,2,32,1
879,1,8,0,48,1
546,5,8,1,57,1
491,9,6,0,5,1
613,17,5,3,34,1
317,11,2,3,15,1
559,3,6,4,12,1
856,16,0,0,43,1
435,14,8,0,56,1
436,5,3,0,10,1
162,15,5,0,22,1
662,16,5,2,1,1
674,2,2,4,59,1
130,9,3,1,29,1
748,4,9,1,18,1
162,13,2,1,39,1
51,12,5,2,44,1
691,5,0,4,45,1
269,11,7,4,46,1
615,7,7,2,48,1
904,4,8,0,14,1
785,14,5,3,52,1
274,15,0,0,41,1
434,0,2,1,32,1
452,15,0,0,43,1
687,4,4,2,40,1
179,2,2,1,54,1
102,19,1,3,4,1
733,14,2,1,21,1
779,12,8,0,26,1
721,15,7,4,46,1
759,10,2,4,34,1
465,1,1,4,18,1
296,5,4,1,38,1
885,5,0,4,6,0
488,13,3,2,38,1
252,10,7,3,33,1
233,7,0,4,33,1
172,7,4,2,26,1
450,0,3,2,43,1
816,6,5,1,4,1
343,5,6,1,3,0
329,7,8,3,6,1
886,18,0,3,47,1
933,19,9,0,2,1
659,7,3,3,20,1
247,13,5,1,33,1
956,17,9,2,48,1
560,15,6,0,8,1
801,8,6,3,19,1
193,14,7,2,39,1
658,9,9,1,11,1
250,15,7,4,38,1
173,3,7,0,45,1
236,19,7,2,27,1
375,12,7,1,47,1
513,4,5,1,32,1
398,6,8,0,9,1
820,8,2,0,10,1
709,7,5,3,6,1
813,15,4,3,17,1
981,5,7,0,18,1
452,15,3,0,13,1
395,5,3,2,16,1
560,13,9,3,22,1
196,0,9,1,18,1
197,8,4,3,53,1
913,12,5,3,59,1
760,18,3,0,44,1
869,16,1,0,54,1
538,10,1,3,2,1
978,7,2,4,33,1
985,4,1,4,24,1
689,9,0,3,40,1
600,6,7,4,30,1
387,9,4,3,38,1
921,3,9,0,13,1
690,8,0,0,36,1
828,13,8,0,51,1
522,1,7,1,46,1
995,8,3,0,19,1
200,0,7,0,31,1
464,9,9,3,32,1
347,9,6,4,51,1
660,19,6,4,30,1
312,2,0,0,6,0
813,5,5,0,4,0
193,5,3,0,56,1
395,1,9,3,3,1
673,17,9,3,10,1
621,1,9,3,18,1
930,11,1,4,37,1
51,4,9,1,19,1
946,19,6,4,26,1
353,6,8,3,28,1
303,15,4,2,17,1
701,19,7,1,36,1
502,0,4,0,51,1
86,0,6,4,46,1
209,16,6,1,52,1
58,0,8,2,59,1
282,19,2,1,24,1
148,12,0,4,19,1
708,8,1,3,5,1
865,14,5,0,35,1
257,2,9,3,48,1
180,13,9,3,14,1
453,10,8,4,17,1
201,11,2,3,37,1
103,12,9,3,55,1
169,12,1,4,24,1
722,0,0,4,19,1
969,9,1,2,21,1
677,2,2,3,50,1
636,3,6,1,11,1
674,15,1,0,40,1
469,7,4,0,39,1
471,15,1,4,59,1
153,16,6,4,46,1
901,18,9,2,32,1
303,14,7,3,28,1
276,15,7,4,1,1
161,14,7,4,25,1
559,1,9,0,56,1
522,10,8,3,31,1
148,0,0,2,57,1
202,14,0,4,2,1
910,18,9,4,29,1
963,3,1,4,18,1
945,10,5,0,9,1
927,4,0,4,24,1
387,2,4,4,45,1
755,12,4,0,18,1
871,9,3,4,57,1
212,10,4,3,59,1
769,17,0,3,42,1
730,1,5,0,20,1
210,6,6,3,5,1
629,8,7,2,50,1
850,9,1,4,13,1
447,17,6,2,57,1
326,6,5,3,7,1
865,6,8,0,1,0
965,2,7,0,53,1
553,11,3,2,17,1
945,6,8,3,56,1
441,16,0,4,21,1
184,0,5,3,56,1
244,4,7,3,29,1
450,15,3,0,35,1
689,14,1,1,27,1
82,1,1,4,34,1
737,8,9,4,1,1
509,6,0,0,55,1
932,3,4,3,35,1
519,19,5,0,17,1
424,17,3,3,42,1
71,3,3,1,8,0
799,12,4,1,27,1
719,0,4,2,7,0
87,2,8,3,52,1
279,15,7,0,7,1
414,3,8,0,4,0
612,15,2,0,12,1
487,18,2,2,6,1
825,0,0,4,20,1
332,4,9,0,28,1
76,18,5,1,36,1
275,10,3,0,44,1
326,12,7,0,51,1
847,19,1,0,47,1
658,4,1,4,13,1
333,3,6,0,36,1
928,3,4,4,54,1
530,3,0,4,50,1
502,3,6,2,3,0
878,19,6,1,55,1
865,17,9,0,21,1
708,17,5,0,55,1
565,15,3,0,10,1
596,8,7,4,33,1
241,17,1,3,44,1
98,1,1,1,15,1
561,3,1,0,8,0
66,11,2,3,15,1
221,6,5,3,38,1
269,14,0,3,15,1
207,6,1,1,30,1
526,16,9,3,30,1
95,15,1,0,12,1
422,18,0,0,4,1
567,8,2,2,58,1
148,13,9,4,46,1
941,16,6,3,38,1
794,4,0,4,17,1
86,1,6,4,58,1
329,19,4,4,19,1
398,15,8,4,54,1
546,13,1,4,1,1
351,13,0,0,39,1
230,0,8,1,29,1
656,2,7,3,9,1
148,6,9,3,41,1
749,14,5,0,10,1
165,18,4,0,52,1
240,19,7,4,28,1
302,1,7,1,52,1
977,18,4,3,39,1
210,8,6,2,15,1
305,18,0,0,47,1
372,4,3,2,27,1
177,17,1,3,16,1
67,15,9,0,37,1
842,3,2,3,49,1
784,11,0,0,48,1
615,6,1,3,43,1
619,13,0,2,14,1
372,11,7,1,30,1
921,2,3,0,6,0
735,4,2,2,59,1
841,16,0,3,45,1
675,9,1,2,29,1
337,9,2,0,35,1
992,10,2,2,48,1
903,16,5,3,25,1
712,4,9,4,10,1
688,12,7,1,58,1
204,9,5,1,5,1
539,8,1,4,41,1
435,16,1,0,28,1
834,0,6,2,27,1
153,3,0,2,14,1
978,3,0,4,28,1
442,17,6,4,5,1
860,8,8,3,47,1
295,17,4,3,11,1
225,13,0,1,50,1
88,14,4,0,15,1
526,5,0,0,45,1
731,9,9,4,37,1
808,14,8,1,57,1
587,3,3,1,8,0
916,17,8,3,21,1
867,17,1,2,32,1
970,16,6,0,25,1
457,11,1,1,53,1
574,6,3,3,39,1
877,15,5,3,6,1
555,10,1,3,45,1
952,13,1,2,31,1
874,2,1,1,39,1
85,18,2,4,42,1
734,17,4,4,59,1
69,9,8,3,23,1
370,5,5,3,40,1
825,12,8,2,50,1
561,9,9,3,38,1
449,17,4,1,37,1
703,19,5,3,49,1
932,15,9,3,36,1
520,5,7,1,18,1
192,12,2,0,42,1
141,3,1,4,4,0
403,13,2,3,29,1
883,0,8,1,58,1
849,19,5,4,24,1
776,4,9,2,29,1
903,7,3,0,55,1
100,11,9,3,24,1
714,1,2,0,8,0
747,11,1,3,26,1
624,4,3,3,23,1
239,4,8,3,39,1
174,12,3,0,42,1
199,8,4,2,58,1
363,9,7,1,53,1
619,0,1,1,37,1
391,2,2,2,14,1
354,17,5,2,37,1
741,11,6,3,25,1
731,2,3,3,53,1
887,8,0,1,29,1
832,1,6,3,10,1
103,2,8,3,28,1
493,13,0,2,14,1
662,3,0,0,43,1
313,18,0,4,8,1
102,12,9,4,41,1
621,6,6,3,28,1
669,11,8,3,14,1
54,2,2,4,16,1
152,8,7,2,15,1
245,1,8,4,57,1
823,8,2,4,21,1
926,11,2,4,39,1
933,11,0,3,48,1
399,14,1,3,42,1
96,1,6,4,10,1
916,17,2,3,37,1
872,12,6,4,24,1
985,13,4,2,53,1
869,4,9,3,29,1
705,9,7,0,1,1
318,11,4,3,0,1
419,9,2,2,51,1
685,10,8,2,37,1
155,1,6,3,57,1
719,4,4,1,57,1
708,6,6,4,56,1
706,5,9,4,36,1
169,2,8,2,54,1
880,12,4,3,53,1
836,2,6,1,53,1
653,5,8,0,8,1
107,10,0,4,4,1
395,16,3,1,49,1
790,9,0,4,23,1
523,11,7,3,26,1
166,16,2,4,29,1
879,3,1,0,50,1
840,1,3,3,14,1
176,10,2,2,46,1
442,6,4,1,8,1
957,1,7,4,45,1
690,17,9,3,36,1
107,3,7,3,29,1
683,7,6,4,48,1
562,19,7,2,14,1
800,13,4,4,19,1
851,11,9,2,56,1
145,17,9,4,48,1
687,10,5,3,55,1
167,7,7,0,55,1
609,1,0,0,24,1
650,14,5,3,8,1
537,8,5,0,44,1
286,18,4,2,21,1
934,19,3,3,12,1
946,7,0,2,36,1
321,18,9,3,59,1
238,4,7,2,27,1
753,10,5,2,13,1
496,14,2,0,29,1
630,7,2,3,38,1
839,18,5,4,56,1
910,7,6,0,4,1
296,18,7,2,11,1
125,17,4,2,34,1
203,9,9,4,40,1
705,6,5,4,41,1
484,8,0,2,0,0
135,0,5,4,45,1
746,18,8,1,0,1
334,4,9,0,41,1
269,18,3,3,42,1
118,0,9,4,59,1
96,14,0,4,19,1
143,15,8,1,33,1
799,6,3,3,54,1
502,11,1,1,33,1
253,7,0,3,54,1
961,4,2,0,23,1
267,9,6,4,27,1
523,4,9,0,10,1
481,16,1,3,7,1
390,4,8,4,34,1
600,14,1,1,40,1
661,12,4,2,57,1
338,0,7,1,15,1
303,10,9,2,57,1
783,0,7,1,15,1
406,10,2,3,41,1
72,17,1,0,5,1
811,17,8,2,19,1
571,15,2,3,55,1
807,12,7,0,51,1
886,6,1,0,51,1
149,0,2,4,10,1
851,15,0,4,7,1
229,0,5,4,19,1
272,16,6,2,31,1
955,5,3,2,32,1
811,1,0,0,5,0
708,16,2,2,27,1
491,5,8,0,7,1
657,13,4,3,13,1
818,17,5,1,2,1
374,5,3,0,1,0
565,9,0,0,21,1
65,17,4,3,32,1
841,8,4,4,42,1
385,7,4,4,20,1
808,9,5,4,5,1
307,16,1,0,39,1
546,5,0,0,6,0
945,13,1,2,5,1
209,5,9,2,49,1
524,6,5,1,43,1
901,11,4,1,7,1
713,2,4,2,23,1
957,13,5,0,26,1
739,18,9,3,52,1
724,15,6,2,50,1
429,6,8,0,27,1
594,7,6,2,58,1
978,17,1,4,55,1
740,12,5,2,4,1
476,8,8,4,18,1
662,9,6,0,8,1
317,8,1,4,24,1
884,14,2,2,43,1
626,19,7,4,46,1
466,1,8,3,54,1
217,12,3,4,44,1
891,1,8,4,55,1
92,18,1,1,12,1
605,1,4,3,52,1
334,2,1,0,52,1
446,5,0,4,36,1
61,2,4,3,1,0
656,9,1,0,50,1
351,5,6,3,39,1
947,15,7,1,13,1
302,16,1,0,30,1
548,18,6,0,5,1
803,2,3,4,24,1
84,17,0,2,38,1
776,6,2,0,45,1
898,8,0,0,30,1
139,19,4,1,37,1
825,11,7,1,15,1
654,4,0,1,26,1
971,2,8,4,29,1
651,10,2,0,3,0
467,3,4,1,38,1
164,4,8,1,15,1
666,0,4,3,35,1
952,17,8,3,6,1
245,11,9,1,20,1
875,12,7,4,1,1
550,8,6,2,54,1
675,1,0,3,7,0
542,4,3,3,41,1
124,12,8,0,26,1
462,15,9,0,1,1
425,15,7,1,5,1
469,2,3,0,3,0
778,3,0,0,20,1
326,10,9,2,0,1
810,13,3,4,37,1
725,2,2,1,59,1
443,15,5,2,11,1
918,14,4,1,26,1
506,9,4,4,13,1
969,8,1,1,14,1
241,10,2,0,23,1
788,15,5,4,17,1
738,9,1,2,16,1
148,16,3,2,8,1
597,18,1,3,46,1
145,1,8,2,17,1
713,1,2,3,55,1
712,5,9,0,52,1
239,18,9,2,17,1
785,7,5,4,4,1
86,2,0,3,47,1
829,13,9,2,8,1
418,15,2,0,53,1
744,0,7,4,34,1
574,2,4,4,43,1
328,17,7,0,55,1
266,8,1,2,45,1
916,5,6,1,0,0
922,0,8,2,40,1
847,9,6,3,8,1
322,5,2,3,31,1
930,11,6,2,19,1
111,3,7,3,12,1
645,12,0,1,39,1
929,16,2,1,10,1
778,7,4,4,45,1
391,19,5,3,47,1
446,2,2,2,42,1
748,11,3,4,50,1
68,6,4,1,53,1
226,11,2,4,41,1
661,1,3,0,25,1
445,13,4,3,39,1
494,4,1,2,10,1
282,8,9,1,24,1
964,10,8,4,39,1
125,4,9,2,24,1
314,2,7,3,19,1
504,16,5,2,41,1
845,1,9,3,48,1
767,0,2,3,54,1
784,6,1,3,10,1
433,13,6,4,43,1
613,4,7,3,9,1
900,18,9,2,51,1
555,10,0,0,48,1
416,1,5,2,2,0
193,7,6,4,38,1
934,8,8,3,26,1
118,2,2,0,34,1
148,1,1,4,48,1
445,6,4,1,54,1
74,4,9,1,39,1
997,4,0,1,30,1
940,19,5,0,20,1
518,12,8,2,21,1
533,19,9,0,18,1
614,5,8,0,13,1
200,19,6,0,36,1
193,17,6,1,50,1
618,1,7,2,44,1
88,5,9,0,49,1
158,8,1,2,22,1
742,2,5,3,25,1
91,0,4,0,42,1
235,0,4,0,54,1
984,18,2,0,43,1
447,4,2,3,39,1
272,12,5,3,11,1
683,18,9,1,0,1
182,11,9,4,49,1
212,15,6,2,33,1
264,18,0,4,43,1
782,2,2,0,18,1
284,11,0,0,22,1
892,4,9,1,6,1
707,1,2,4,6,0
800,6,4,0,0,0
637,12,8,4,17,1
58,14,2,1,7,1
123,2,9,4,24,1
541,19,9,2,41,1
962,4,8,1,28,1
302,7,0,4,22,1
279,0,5,0,28,1
568,7,8,3,0,1
223,17,4,3,14,1
702,19,9,1,14,1
217,15,1,3,27,1
219,17,4,2,35,1
442,19,0,1,41,1
995,11,8,0,39,1
844,12,9,0,31,1
683,12,9,1,45,1
243,9,8,3,12,1
566,6,5,3,20,1
78,13,8,0,48,1
214,15,2,2,38,1
471,14,3,3,37,1
388,11,5,2,8,1
697,8,3,3,19,1
545,7,0,1,19,1
414,17,6,4,7,1
882,17,4,0,13,1
391,12,7,1,19,1
549,17,8,3,34,1
706,14,4,0,54,1
560,3,7,4,44,1
376,16,0,4,20,1
266,4,0,3,40,1
350,15,6,0,52,1
181,8,5,3,40,1
853,9,4,4,53,1
119,17,4,1,21,1
301,16,8,1,42,1
464,17,0,2,5,1
836,6,7,4,54,1
494,3,1,4,43,1
925,4,6,3,26,1
231,15,5,2,3,1
216,2,9,2,3,1
140,17,1,0,56,1
763,13,2,3,27,1
907,14,3,1,54,1
580,16,6,0,26,1
88,0,7,2,57,1
175,16,1,1,53,1
500,10,7,4,16,1
222,16,8,3,38,1
702,13,6,2,37,1
803,19,0,4,59,1
269,18,5,2,51,1
687,6,7,1,28,1
107,12,4,0,39,1
709,17,1,1,6,1
525,13,4,3,7,1
505,0,7,3,40,1
878,6,1,2,32,1
944,7,0,1,31,1
410,17,3,0,34,1
984,8,3,3,17,1
50,0,8,0,50,1
436,16,2,4,58,1
397,18,3,2,42,1
239,5,2,0,15,1
554,2,1,2,17,1
240,4,3,4,58,1
557,1,7,0,37,1
418,19,0,0,24,1
458,3,7,4,33,1
873,9,7,1,3,1
978,9,2,0,4,0
983,10,9,0,52,1
166,15,9,3,13,1
183,16,5,1,0,1
107,15,3,0,21,1
605,6,0,4,45,1
734,15,0,2,20,1
721,2,4,4,12,1
222,15,7,1,53,1
878,7,0,3,47,1
864,11,1,3,35,1
198,2,6,3,28,1
129,16,7,4,58,1
935,17,2,2,37,1
262,10,7,2,8,1
252,3,0,0,32,1
813,15,8,2,21,1
278,16,1,2,16,1
725,8,1,0,59,1
276,5,3,4,22,1
708,19,9,4,35,1
581,1,2,1,5,0
490,8,3,4,47,1
451,5,5,3,38,1
96,2,6,3,28,1
282,19,4,1,26,1
354,5,1,2,4,0
575,6,2,1,8,1
192,0,9,0,23,1
464,0,2,1,18,1
562,4,4,1,32,1
422,5,4,3,58,1
615,12,3,0,29,1
935,1,7,0,57,1
308,14,5,1,39,1
705,14,5,0,51,1
520,12,0,0,54,1
61,13,5,4,3,1
379,6,2,0,54,1
785,13,5,2,31,1
833,9,9,0,48,1
407,16,5,3,0,1
457,13,1,4,33,1
717,7,0,3,20,1
422,3,2,3,30,1
57,15,4,2,58,1
171,12,3,4,13,1
397,19,6,1,25,1
725,17,3,0,21,1
139,13,7,2,33,1
697,17,6,2,32,1
747,4,9,1,56,1
365,8,8,2,12,1
227,2,0,1,31,1
589,7,4,1,54,1
781,19,3,1,7,1
918,9,5,2,21,1
90,18,0,1,40,1
789,2,5,2,55,1
753,10,0,4,19,1
972,10,0,1,20,1
551,16,7,2,33,1
194,15,1,2,48,1
250,6,9,2,29,1
978,3,5,0,5,0
773,18,5,0,34,1
510,11,5,1,26,1
781,14,7,4,19,1
801,10,3,1,48,1
974,4,2,3,37,1
958,4,5,3,39,1
607,14,3,4,13,1
596,17,1,4,9,1
302,10,5,4,51,1
439,11,9,0,41,1
643,1,4,0,14,1
932,19,8,3,39,1
305,14,5,4,42,1
758,19,2,2,47,1
864,3,4,3,57,1
970,17,9,4,2,1
499,5,7,2,14,1
59,18,8,4,44,1
873,10,7,1,30,1
847,1,2,2,10,0
291,7,8,1,45,1
300,10,2,0,38,1
926,4,7,3,18,1
54,17,9,4,14,1
168,17,8,3,37,1
850,13,6,4,19,1
423,9,3,1,21,1
114,2,9,2,6,1
195,8,8,2,55,1
273,2,2,4,13,1
288,10,2,1,53,1
226,11,1,4,3,1
828,11,9,4,8,1
902,2,2,4,38,1
331,6,0,2,24,1
112,13,3,4,46,1
266,10,7,2,34,1
903,6,4,0,36,1
876,9,1,1,48,1
844,10,2,0,26,1
738,14,0,4,27,1
510,18,1,2,23,1
978,15,0,1,32,1
659,19,1,3,32,1
154,11,2,1,15,1
148,17,0,1,22,1
560,12,8,4,45,1
434,4,9,0,10,1
454,3,4,0,45,1
872,13,7,3,39,1
567,7,4,4,18,1
525,8,7,1,33,1
758,18,6,0,22,1
912,2,3,0,9,0
694,4,6,2,36,1
919,17,5,1,46,1
820,0,2,4,0,0
486,7,8,0,1,1
72,18,9,4,50,1
614,16,8,1,21,1
726,16,4,1,16,1
763,10,7,0,46,1
507,1,6,3,23,1
132,5,8,4,49,1
194,13,6,4,20,1
134,2,3,2,39,1
127,11,3,1,28,1
506,3,7,1,52,1
927,11,5,0,13,1
50,12,8,0,7,1
100,1,9,0,29,1
734,1,6,2,21,1
766,14,6,3,22,1
821,16,3,0,39,1
495,6,2,0,50,1
498,13,7,0,12,1
930,11,6,2,27,1
537,16,3,4,29,1
849,13,3,3,4,1
83,5,0,4,9,1
397,18,6,1,38,1
144,5,0,1,8,0
121,17,9,0,13,1
600,4,9,4,37,1
203,5,3,2,9,1
299,1,2,3,32,1
723,7,2,4,10,1
487,14,0,4,39,1
167,14,3,3,5,1
820,10,0,4,16,1
940,0,7,4,35,1
355,17,0,3,5,1
317,11,5,2,46,1
103,11,6,3,9,1
285,10,9,0,48,1
438,7,1,0,41,1
783,6,3,0,4,0
812,1,2,0,18,1
874,10,8,1,6,1
450,9,6,2,23,1
673,2,1,1,50,1
816,19,5,4,41,1
352,9,8,4,18,1
968,17,2,3,10,1
256,13,5,0,2,1
278,17,2,3,29,1
902,7,2,4,42,1
959,9,3,0,37,1
627,12,8,2,5,1
124,7,7,4,46,1
484,3,0,3,34,1
152,3,0,3,21,1
471,4,6,4,56,1
753,0,2,1,10,0
813,16,6,2,7,1
787,1,8,4,26,1
855,7,2,4,28,1
355,6,2,3,54,1
147,14,1,0,54,1
899,4,9,0,7,1
847,1,0,0,22,1
384,6,8,3,28,1
908,7,5,0,15,1
484,6,5,4,34,1
496,6,7,1,7,1
357,13,4,1,7,1
298,17,8,1,44,1
215,5,4,0,32,1
530,3,1,1,41,1
384,9,5,0,4,1
591,17,8,4,36,1
808,11,2,4,16,1
155,15,9,3,21,1
612,6,3,3,13,1
130,5,9,2,37,1
182,4,7,4,31,1
846,2,5,0,13,1
949,11,6,2,43,1
187,14,6,4,19,1
233,9,3,0,21,1
450,19,5,4,29,1
379,18,8,4,53,1
834,15,2,0,32,1
557,10,7,4,4,1
901,7,6,4,17,1
118,2,3,4,45,1
595,6,9,3,6,1
823,6,2,1,28,1
102,13,6,4,56,1
499,1,9,0,46,1
254,9,8,4,8,1
175,18,9,3,46,1
796,8,2,3,58,1
92,15,9,4,47,1
801,18,8,2,40,1
932,17,7,1,58,1
160,8,2,0,6,1
810,15,7,0,6,1
712,12,3,0,48,1
232,9,5,0,42,1
897,19,9,3,58,1
144,13,1,1,5,1
423,11,7,4,45,1
961,18,8,4,46,1
569,6,6,2,52,1
949,14,7,4,39,1
409,15,6,1,55,1
949,7,9,4,26,1
745,9,3,3,3,1
330,3,0,4,0,0
244,18,2,0,5,1
913,18,6,0,57,1
244,14,6,0,30,1
716,13,2,0,0,0
142,0,0,3,52,1
721,15,9,3,4,1
995,9,8,3,18,1
110,18,5,4,4,1
683,2,6,0,53,1
100,4,0,2,4,0
452,8,0,2,48,1
838,17,3,0,30,1
54,10,6,1,59,1
515,15,7,4,43,1
653,1,9,2,6,1
731,11,8,3,14,1
878,5,0,1,50,1
583,10,3,3,54,1
454,7,3,1,52,1
887,11,2,1,12,1
562,1,6,4,11,1
694,8,0,3,18,1
282,14,8,3,12,1
573,1,7,2,26,1
395,0,1,0,37,1
95,9,1,0,32,1
595,1,7,2,5,0
994,11,0,1,12,1
127,7,6,2,12,1
779,4,8,2,12,1
862,0,2,3,19,1
972,14,6,2,35,1
122,5,5,1,36,1
843,11,6,0,44,1
298,7,6,4,8,1
96,12,9,2,16,1
170,18,0,2,34,1
263,0,2,3,58,1
288,10,9,3,51,1
105,19,0,2,17,1
399,0,4,2,24,1
156,7,2,1,58,1
880,4,0,0,14,1
97,16,1,0,22,1
622,7,9,4,0,1
386,9,4,0,40,1
75,1,2,4,37,1
853,8,5,3,17,1
306,2,8,4,0,0
57,17,5,4,53,1
674,6,1,0,38,1
916,14,1,2,9,1
302,19,7,3,30,1
741,17,7,1,37,1
768,2,5,4,6,1
352,13,9,4,37,1
688,1,6,4,7,1
105,13,0,2,33,1
775,10,8,1,8,1
575,15,4,0,24,1
523,7,8,3,26,1
77,6,1,2,40,1
127,10,7,1,6,1
265,2,6,3,31,1
435,16,3,0,8,1
